currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
36,0.37,0.72,0.41,60.05,41.57,27.06,1,0
37,0.15,1.55,0.28,79.75,27.82,5.45,1,0
38,0.62,0.63,0.15,76.64,76.48,44.64,1,0
1,0.28,0.8,0.5,57.89,29.36,19.44,1,0
2,0.29,0.78,0.5,57.38,30.03,20.3,1,0
3,0.27,0.8,0.47,59.78,30.26,18.77,1,0
4,0.25,0.79,0.25,72.42,45,17.58,1,0
5,0.21,0.92,-0.41,113.78,152.56,12.89,1,0
6,0.18,0.81,-0.59,125.8,162.95,12.47,1,0
7,0.15,0.85,-0.63,126.62,166.8,9.89,1,0
8,0.22,0.84,0.2,76.34,47.12,14.66,1,0
9,0.24,0.75,0.56,53.13,23.29,17.9,1,0
10,0.25,0.71,0.63,48.33,21.56,19.37,1,0
11,0.26,0.72,0.59,50.81,23.75,19.73,1,0
12,0.27,0.68,0.62,47.76,23.29,21.35,1,0
13,0.27,0.8,0.44,61.47,31.26,18.27,1,0
14,0.27,0.88,0.18,78.4,56.69,17.35,1,0
15,0.23,0.93,-0.34,110.29,145.71,14.15,1,0
16,0.19,0.8,-0.68,130.46,164.58,13.24,1,0
17,0.2,0.88,-0.58,123.45,160.64,13.07,1,0
18,0.24,0.87,-0.01,90.52,91.85,15.6,1,0
19,0.28,0.79,0.36,65.51,38.05,19.62,1,0
20,0.28,0.72,0.55,52.73,27.22,21.37,1,0
21,0.27,0.76,0.54,54.57,26.23,19.32,1,0
22,0.24,0.8,0.48,59.12,26.94,16.91,1,0
23,0.1,0.88,0.4,65.52,14.3,6.62,1,0
24,0.3,0.91,0.26,74.12,49.76,18.58,1,0
25,0.37,0.8,0.35,66.19,46.25,24.74,1,0
26,0.15,0.99,0.29,73.76,27.18,8.51,1,0
27,0.19,0.8,0.4,63.66,25.2,13.12,1,0
28,0.36,0.89,0.34,69.33,46.93,21.97,1,0
29,0.31,0.99,0.48,63.98,32.83,17.48,1,0
30,0.19,0.8,0.45,60.8,22.83,13.24,1,0
31,0.29,0.88,0.13,81.87,66.61,18.28,1,0
32,0.11,0.52,-0.27,117.58,158.2,11.8,1,1
33,-0.63,-2.01,-0.97,-115.76,-147.17,-162.71,1,1
34,-0.66,-0.21,0.69,-17.06,-44.01,-107.62,1,1
35,-0.87,-0.07,0.47,-8.53,-61.61,-94.64,1,1
36,-0.85,-0.09,0.43,-11.31,-63.23,-95.76,1,0
37,-0.82,-0.07,0.43,-9.29,-62.35,-94.9,1,0
38,-0.85,-0.06,0.41,-8.75,-64.5,-94.2,1,0
39,-0.84,-0.07,0.42,-9.46,-63.22,-94.81,1,0
40,-0.82,-0.07,0.45,-8.97,-61.5,-94.9,1,0
41,-0.81,-0.07,0.48,-8.39,-59.61,-94.95,1,0
42,-0.84,-0.08,0.45,-9.95,-61.96,-95.34,1,0
43,-0.84,0.08,0.59,7.5,-54.87,-84.71,1,0
44,-0.59,0.53,0.42,51.55,-54.61,-48.18,1,0
45,-0.39,0.81,0.33,68.01,-49.97,-25.68,1,0
46,0.23,0.94,-0.05,92.86,101.69,13.59,1,0
1,0.3,0.67,0.66,45.67,24.9,24.39,1,0
2,0.3,0.66,0.66,45,24.65,24.65,1,0
3,0.32,0.67,0.66,45.34,25.75,25.49,1,0
4,0.32,0.75,0.48,57.57,33.91,23.13,1,0
5,0.3,0.88,0.27,72.65,47.35,18.74,1,0
6,0.26,0.89,-0.14,98.97,118.61,16.14,1,0
7,0.21,0.79,-0.65,129.41,161.98,14.97,1,0
8,0.19,0.7,-0.64,132.66,163.69,15.09,1,0
9,0.23,0.82,-0.41,116.78,150.49,15.95,1,0
10,0.21,0.84,0.08,84.66,69.68,14.16,1,0
11,0.23,0.82,0.38,65.43,31.14,15.44,1,0
12,-0.07,0.92,0.34,69.98,-11.82,-4.36,1,0
13,-0.06,0.88,0.34,68.55,-10.3,-4.09,1,0
14,0.06,0.91,0.38,67.1,9.27,3.95,1,0
15,0.49,0.8,0.3,69.08,58.24,31.7,1,0
16,0.36,0.77,0.43,60.95,39.91,24.92,1,0
17,0.11,0.82,0.32,68.67,18.85,7.59,1,0
18,0.34,0.92,0.26,74.38,52.5,20.02,1,0
19,0.34,0.79,0.41,62.76,39.59,23.06,1,0
20,0.2,0.88,0.38,66.37,27.95,13.07,1,0
21,0.4,0.86,0.35,67.75,48.58,24.87,1,0
22,0.41,0.8,0.41,62.99,45.55,27.46,1,0
23,0.25,0.81,0.44,61.7,29.74,17.1,1,0
24,0.45,0.82,0.3,69.62,56.08,28.92,1,0
25,0.27,0.87,0.28,72.03,43.36,17.03,1,0
26,0.17,0.89,0.41,65.07,22.54,10.92,1,0
27,0.39,0.78,0.2,75.43,62.53,26.57,1,0
28,0.3,0.91,0.01,89.51,88.49,18.14,1,1
29,0.22,0.59,-0.14,103.32,122.74,20.22,1,1
30,-1.38,-4.2,2.5,-59.21,-28.95,-161.76,1,1
31,0,-0.37,0.92,-21.72,0,180,1,1
32,0.07,-0.38,0.97,-21.16,4.15,169.38,1,1
33,0.08,-0.41,0.92,-23.78,4.84,169.11,1,0
34,0.09,-0.42,0.93,-24.41,5.28,168.49,1,0
35,0.09,-0.43,0.92,-24.99,5.33,168.69,1,0
36,0.09,-0.44,0.91,-25.58,5.86,167.91,1,0
37,0.09,-0.42,0.91,-24.78,5.37,168.49,1,0
38,0.1,-0.44,0.92,-25.39,6.29,166.93,1,0
39,0.09,-0.44,0.9,-25.96,5.96,167.91,1,0
40,0.08,-0.44,0.93,-25.2,4.8,169.88,1,0
41,0.09,-0.42,0.92,-24.59,5.81,167.47,1,0
42,0.1,-0.43,0.92,-24.99,6.29,166.7,1,0
43,0.09,-0.36,0.95,-20.82,5.66,165.38,1,0
1,0.29,0.8,0.48,58.95,30.83,19.76,1,0
2,0.28,0.81,0.48,59.2,30.14,19.09,1,0
3,0.3,0.81,0.45,60.85,33.23,20.07,1,0
4,0.27,0.81,0.46,60.43,30.68,18.6,1,0
5,0.28,0.82,0.45,61.5,32.28,18.92,1,0
6,0.27,0.83,0.45,61.73,31.55,18.27,1,0
7,0.28,0.83,0.45,61.31,31.83,18.76,1,0
8,0.27,0.83,0.44,62.15,32.01,18.27,1,0
9,0.29,0.81,0.47,60.02,31.66,19.58,1,0
10,0.29,0.82,0.41,63.22,34.92,19.41,1,0
11,0.31,0.84,0.15,80.02,64.59,20.32,1,1
12,0.12,1.07,-0.81,127.2,171.79,6.25,1,1
13,-0.17,-3.45,0.23,-86.11,-36.25,-177.14,1,1
14,0.24,-0.13,1.09,-6.57,12.57,117.3,1,1
15,0.26,0.16,0.91,9.78,15.88,58.78,1,1
16,0.36,0.58,0.7,39.74,27.33,31.87,1,0
17,0.39,0.62,0.63,44.64,32.01,32.33,1,0
18,0.4,0.71,0.59,50.51,34.22,29.27,1,0
19,0.38,0.72,0.55,52.34,34.06,27.55,1,0
20,0.38,0.77,0.47,58.78,39.24,26.33,1,0
21,0.4,0.88,0.29,71.72,54.04,24.48,1,0
22,0.34,0.85,0.3,70.78,49.18,21.98,1,0
