currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected,fallPrediction,walkingDeterioration
34,0.19,0.88,0.29,71.87,32.97,11.99,2,0,0,1
35,0.27,0.84,0.3,70.14,41.91,17.96,2,0,0,1
36,0.05,0.91,0.3,71.86,10.44,3.45,2,0,0,1
37,0.23,0.77,0.22,74.21,46.97,16.86,2,0,0,1
38,0.2,0.92,0.33,70.41,30.76,11.96,2,0,0,1
39,0.1,0.88,0.26,73.72,21.5,6.56,2,0,0,1
40,0.27,0.76,0.19,76.1,54.78,19.32,2,0,0,1
41,0.25,0.88,0.32,70.06,37.97,15.81,2,0,0,1
42,0.12,0.85,0.29,71.25,22.07,7.84,2,0,0,1
43,0.38,0.87,0.3,71.1,52.21,23.82,2,0,0,1
44,0.09,1.03,0.23,77.61,22.48,5.19,2,0,0,1
45,0.05,0.88,0.34,68.73,9.04,3.54,2,0,0,1
46,0.37,0.88,0.31,70.51,49.6,22.58,2,0,0,1
47,0.14,1.02,0.27,75.34,27.9,7.88,2,0,0,1
48,0.06,0.9,0.25,74.45,14.04,3.98,2,0,0,1
49,0.32,0.87,0.27,72.5,49.51,20.27,2,0,0,1
50,0.23,0.98,0.34,70.75,33.39,12.96,2,0,0,1
51,0.11,0.88,0.23,75,25.02,7.13,2,0,0,1
52,0.27,0.91,0.27,73.21,44.17,16.34,2,0,0,1
53,0.14,0.99,0.27,75.01,27.9,8.07,2,0,0,1
54,0.02,0.85,0.27,72.68,5.04,1.58,2,0,0,1
55,0.27,0.86,0.24,74.26,47.64,17.18,2,0,0,1
56,0.17,0.98,0.33,71.43,27.65,9.98,2,0,0,1
57,0.03,0.89,0.2,77.15,8.75,2.01,2,0,0,1
58,0.28,0.83,0.21,75.71,53.13,18.76,2,0,0,1
59,0.27,0.93,0.36,68.87,36.47,15.95,2,0,0,1
1,0.22,0.84,0.43,62.8,26.98,14.66,1,0
2,0.23,0.83,0.43,62.58,28.61,15.8,1,0
3,0.08,0.91,0.45,64.03,9.95,4.89,1,0
4,0.34,0.93,0.27,73.61,51.5,20.29,2,0,0,0
5,0.34,0.77,0.35,65.56,44.36,23.96,2,0,0,0
6,0.15,0.88,0.28,72.18,27.82,9.63,2,0,0,0
7,0.12,0.89,0.35,68.46,18.43,7.5,2,0,0,0
8,0.37,0.8,0.21,75.31,60.12,24.53,2,0,0,0
9,0.32,0.85,0.33,68.93,44.31,20.61,2,0,0,0
10,0.14,0.89,0.34,69.33,22.71,8.97,2,0,0,0
11,0.24,0.98,0.34,71.02,35.79,13.93,2,0,0,0
12,0.37,0.78,0.27,70.71,53.33,25.17,2,0,0,0
13,0.1,0.83,0.16,78.79,31.76,6.99,2,0,0,0
14,0.09,0.98,0.21,77.91,22.17,4.99,2,0,0,0
15,0.38,0.91,0.13,82.15,71.57,22.48,2,0,0,0
16,0.27,0.93,0.25,74.95,47.56,16.39,2,0,0,1
17,0.02,0.94,0.14,81.47,6.34,0.95,2,0,0,1
18,0.29,0.95,0.04,87.63,82.3,17,2,0,0,1
19,0.41,0.81,0.2,76.48,64.32,26.57,2,0,0,1
20,-0.02,0.95,0.1,83.92,-8.75,-0.94,2,0,0,1
21,0.19,0.98,0.05,86.79,73.74,10.87,2,0,0,1
22,0.34,0.84,0.18,77.87,62.4,22.35,2,0,0,1
23,0.13,0.98,0.09,84.56,54.78,7.68,2,0,0,1
24,0.17,1.09,0.13,83.03,52.31,8.99,2,0,0,1
25,0.37,0.87,0.16,79.79,66.95,22.95,2,0,0,1
26,0.23,0.99,0.17,80.17,52.82,12.86,2,0,0,1
27,0.12,0.94,0.11,83.35,46.97,7.13,2,0,0,1
28,0.37,0.88,0.13,81.37,70.11,22.77,2,0,0,1
29,0.23,0.89,0.13,81.52,60.46,14.74,2,0,0,1
30,0.06,0.9,0.1,83.55,31.61,3.98,2,0,0,1
31,0.33,0.91,0.03,88.03,84.56,19.9,2,0,0,1
32,0.33,0.81,0.27,71.4,50.19,21.99,2,0,0,1
33,0.03,0.89,0.15,80.54,11.89,2.01,2,0,0,1
34,0.27,0.86,0.01,89.48,88.36,17.65,2,0,0,1
