currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
73,0.23,0.26,0.59,23.47,20.89,41.31,0
74,1.02,-0.41,0.34,-50.95,71.7,112.18,0
75,0.98,-0.02,-0.05,-153.43,92.75,91.37,0
76,1.11,-0.25,-0.38,-146.31,108.68,102.7,0
77,0.92,-0.34,-0.13,-111.57,98.2,110.02,0
78,0.96,-0.27,-0.01,-91.64,90.47,105.88,0
79,0.98,-0.34,-0.07,-101.82,94.09,108.84,0
80,0.97,-0.34,-0.01,-91.33,90.46,109.13,0
81,0.97,-0.34,0.02,-86.1,88.61,109.54,0
82,0.98,-0.35,0,-90,90,109.8,0
83,0.97,-0.34,0.01,-88.67,89.54,109.13,0
84,0.97,-0.34,-0.01,-91.33,90.46,109.13,0
85,0.97,-0.34,-0.01,-91.33,90.46,109.13,0
86,0.96,-0.34,-0.01,-91.33,90.47,109.27,0
87,0.97,-0.34,0,-90,90,109.13,0
88,0.97,-0.34,-0.02,-93.99,91.39,109.13,0
89,0.98,-0.33,-0.01,-91.36,90.46,108.57,0
90,0.97,-0.34,-0.02,-92.66,90.92,109.13,0
91,0.97,-0.33,-0.02,-92.73,90.92,108.71,0
92,0.97,-0.33,-0.02,-94.09,91.39,108.71,0
93,0.98,-0.33,-0.02,-92.73,90.92,108.57,0
94,0.97,-0.33,-0.02,-92.73,90.92,108.71,0
95,0.98,-0.34,-0.02,-93.9,91.37,109.39,0
96,0.98,-0.33,-0.01,-91.36,90.45,108.43,0
97,0.97,-0.33,-0.01,-91.36,90.46,108.71,0
98,0.98,-0.32,-0.02,-92.79,90.92,108.16,0
99,0.98,-0.34,-0.02,-92.66,90.91,108.84,0
100,0.97,-0.33,-0.02,-94.09,91.39,108.71,0
101,0.98,-0.33,-0.02,-92.73,90.91,108.43,0
102,0.96,-0.33,-0.02,-94.09,91.4,108.85,0
103,0.91,-0.27,-0.02,-93.27,90.99,106.79,0
104,0.96,-0.28,0.01,-88.41,89.53,106.31,0
105,1.01,0.14,0.08,60.95,85.57,82.06,0
106,1.12,-0.12,0.17,-34.29,81.25,95.99,0
107,0.93,0.19,0.15,51.63,80.93,78.6,0
108,1.02,-0.02,0.05,-18.43,87.38,90.87,0
109,1,-0.11,0.09,-49.4,84.64,96.24,0
110,1.02,-0.11,0.09,-51.84,85.2,96.1,0
111,1.02,-0.1,0.09,-49.76,85.2,95.67,0
112,1,-0.11,0.1,-47.12,84.2,96.24,0
113,1.02,-0.11,0.09,-51.84,85.2,96.1,0
114,1.05,-0.11,0.09,-49.4,84.88,95.96,0
115,0.96,-0.22,0.38,-29.74,68.28,102.82,0
116,0.91,-0.3,0.4,-37.41,66.45,108.43,0
117,0.97,-0.22,0.32,-34.33,71.7,102.72,0
118,0.96,-0.23,0.33,-35.54,71.15,103.71,0
119,0.95,-0.23,0.34,-33.39,70.17,103.37,0
0,0.95,-0.23,0.34,-34.9,70.44,103.92,0
1,0.95,-0.24,0.35,-34.56,69.6,104.37,0
2,0.96,-0.23,0.34,-33.39,70.32,103.27,0
3,0.96,-0.24,0.31,-37.78,71.99,104.15,0
4,0.96,-0.25,0.3,-39.37,72.41,104.58,0
5,0.98,-0.13,0.23,-28.89,77.04,97.24,0
6,1.16,-0.09,0.18,-25.56,81.17,94.25,0
7,0.75,0.36,0.21,59.59,74.29,64.4,0
8,0.43,0.63,-0.11,99.81,104.28,34.18,0
9,0.8,0.49,-0.23,114.72,105.72,58.55,0
