currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
2,0.25,0.98,0.16,80.91,57.99,14.36,walking,None
3,0.27,0.93,0.18,79.06,55.92,15.95,walking,None
4,0.05,0.94,0.21,77.32,14.53,3.34,walking,None
5,0.23,0.97,0.1,84.02,66.57,13.6,walking,None
6,0.25,0.97,0.16,80.39,56.73,14.47,walking,None
7,0.09,0.9,0.2,77.74,23.75,5.46,walking,None
8,0.23,0.86,0.03,87.92,82.41,15.26,walking,None
9,0.28,0.95,0.2,78.42,55.22,16.44,walking,None
10,0.13,0.91,0.22,76.43,29.74,7.85,walking,None
11,0.27,0.95,0.15,81.08,61.5,16.13,walking,None
12,0.12,0.98,0.13,82.76,43.15,6.79,walking,None
13,0.08,0.95,0.19,78.78,22.62,4.72,walking,None
14,0.29,0.86,0.14,80.71,64.06,18.59,walking,None
15,0.31,0.88,0.27,72.65,48.81,19.65,walking,None
16,0.11,0.93,0.15,80.93,36.38,6.71,walking,None
17,0.3,0.87,0.14,80.79,65.22,19.36,walking,None
18,0.11,0.93,0.14,81.4,37.87,6.71,walking,None
19,0.2,0.91,0.02,88.53,83.42,12.53,sittingdown,None
20,0.15,0.86,-0.13,98.79,131.82,9.8,sittingdown,None
21,-0.14,0.9,-0.41,114.74,-161.24,-8.9,sittingdown,None
22,-0.08,0.76,-0.55,126.2,-171.98,-5.89,sittingdown,None
23,0.06,0.67,-0.72,136.93,175.03,5.31,sittingdown,None
24,0.09,0.73,-0.7,133.74,172.32,7.35,sittingdown,None
25,0.36,1.34,-0.02,91,93.73,14.97,sittingdown,None
26,0.29,0.61,0.81,36.87,19.58,25.38,sitting,Fall detected!
27,0.34,0.85,0.39,65.36,41.35,21.98,sitting,None
28,0.34,0.73,0.61,50.01,28.87,24.81,sitting,None
29,0.34,0.7,0.59,49.5,29.5,25.79,sitting,None
30,0.32,0.7,0.6,49.13,28.03,24.73,sitting,None
31,0.33,0.7,0.6,49.45,28.61,25.02,sitting,None
32,0.31,0.7,0.59,49.82,27.76,23.96,sitting,None
33,0.31,0.72,0.61,49.71,27.15,23.5,sitting,None
34,0.3,0.71,0.59,50.51,26.87,22.66,sitting,None
35,0.31,0.72,0.59,50.44,27.76,23.5,sitting,None
36,0.3,0.72,0.59,50.44,27.16,22.97,sitting,None
37,0.31,0.71,0.59,50.13,27.76,23.73,sitting,None
38,0.3,0.73,0.59,51.12,27.47,22.75,sitting,None
39,0.31,0.72,0.59,50.81,28.07,23.5,sitting,None
40,0.31,0.71,0.59,50.51,28.07,23.73,sitting,None
41,0.31,0.71,0.59,50.51,28.07,23.73,sitting,None
42,0.32,0.73,0.6,50.68,28.03,23.57,sitting,None
43,0.31,0.72,0.6,50.07,27.45,23.5,sitting,None
44,0.31,0.73,0.59,50.74,27.76,23.27,sitting,None
45,0.31,0.7,0.6,49.45,27.45,23.96,sitting,None
