currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
0,0.27,0.62,0.71,40.96,21.04,23.9,4
1,0.27,0.62,0.71,40.96,21.04,23.9,4
2,0.28,0.63,0.7,41.63,21.8,24.23,4
3,0.27,0.63,0.71,41.32,21.04,23.63,4
4,0.28,0.62,0.71,40.96,21.58,24.5,4
5,0.27,0.62,0.71,40.96,21.04,23.9,4
6,0.28,0.62,0.71,40.96,21.58,24.5,4
7,0.27,0.62,0.71,40.96,20.49,23.29,4
8,0.27,0.62,0.72,40.65,20.83,23.9,4
9,0.28,0.62,0.71,40.96,21.58,24.5,4
10,0.28,0.61,0.7,40.91,21.8,24.78,4
11,0.28,0.63,0.7,41.95,22.02,24.23,4
12,0.28,0.61,0.71,40.6,21.58,24.78,4
13,0.29,0.62,0.72,40.65,21.91,25.1,4
14,0.28,0.62,0.7,41.28,21.8,24.5,4
15,0.28,0.62,0.71,40.96,21.58,24.5,4
16,0.29,0.63,0.7,41.63,22.35,24.82,4
17,0.29,0.61,0.72,40.29,21.91,25.38,4
18,0.28,0.6,0.71,40.24,21.58,25.06,4
19,0.28,0.61,0.73,39.99,21.16,24.78,4
20,0.27,0.62,0.7,41.28,21.25,23.9,4
21,0.29,0.63,0.71,41.67,22.13,24.55,4
22,0.28,0.63,0.73,40.7,21.16,24.23,4
23,0.3,0.59,0.71,39.87,22.66,26.57,4
24,0.3,0.63,0.68,42.6,23.59,25.41,4
25,0.33,0.8,0.47,59.53,34.99,22.38,4
26,0.3,0.77,0.3,69,45,21,4
27,0.28,0.91,0.13,81.73,64.72,17.1,4
28,0.29,0.93,0.09,84.72,73.44,17.27,4
29,0.28,0.93,0.07,85.67,75.96,16.83,4
30,0.27,0.92,0.06,86.12,77.13,16.52,4
31,0.28,0.91,0.08,85.11,74.48,17.1,4
32,0.27,0.92,0.07,85.64,75.58,16.52,4
33,0.27,0.92,0.07,85.64,75.17,16.07,4
34,0.27,0.94,0.06,86.19,77.13,16.26,4
35,0.29,0.88,0.16,79.96,61.61,18.13,4
36,0.3,0.91,0.15,80.78,63.43,17.99,4
37,0.3,0.91,0.12,82.63,68.96,18.58,4
38,0.25,0.95,-0.1,96.08,112.11,14.7,4
39,0.23,0.91,-0.16,100.18,124.99,14.38,4
40,0.27,0.93,-0.15,99.07,119.2,15.95,4
41,0.26,0.93,-0.17,100.47,123.69,15.5,4
42,0.26,0.91,-0.17,100.65,123.69,15.75,4
43,0.26,0.91,-0.18,101.12,124.88,15.75,4
44,0.24,0.91,-0.18,101.12,126.57,14.84,4
45,0.26,0.91,-0.17,100.65,123.69,15.75,4
46,0.26,0.91,-0.16,100.18,122.47,15.75,4
47,0.26,0.91,-0.15,99.22,119.93,15.75,4
48,0.27,0.91,-0.09,95.42,107.45,16.79,4
49,0.18,0.8,-0.29,109.94,148.13,12.71,6
50,0.15,0.7,-0.82,139.4,169.74,11.92,6
51,0.2,0.65,-0.62,133.59,162.44,16.76,6
52,0.21,0.82,-0.35,113.2,149.04,14.42,6
53,0.29,0.89,-0.03,92.01,96.17,17.98,6
54,0.3,0.83,0.3,70.28,45,19.72,6
55,0.3,0.78,0.45,59.89,33.23,20.81,1
56,0.3,0.8,0.48,59.36,32.59,20.74,1
57,0.28,0.73,0.55,53.33,27.22,20.96,1
58,0.3,0.73,0.58,51.49,27.18,22.23,1
59,0.31,0.73,0.56,52.25,29.05,23.27,1
0,0.31,0.72,0.57,51.57,28.72,23.5,1
1,0.29,0.73,0.56,52.55,27.2,21.49,1
2,0.3,0.75,0.55,53.51,28.78,22.11,1
3,0.31,0.74,0.57,52.46,28.72,22.83,1
4,0.31,0.73,0.57,52.17,28.72,23.05,1
5,0.3,0.73,0.55,52.64,28.78,22.75,1
6,0.3,0.8,0.45,60.8,34.38,20.92,1
7,0.31,0.9,0.25,74.45,51.34,19.18,1
8,0.32,0.88,0.27,73.25,50.33,19.94,1
9,0.31,0.88,0.26,73.72,50.48,19.49,1
10,0.31,0.9,0.24,74.91,52.22,19.18,1
11,0.31,0.89,0.25,74.32,51.34,19.33,1
