currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
53,-0.06,1.07,0.13,82.93,-25.2,-3.34,9
54,0.31,0.98,0.22,77.47,55.01,17.61,9
55,0.41,0.72,0.3,67.56,53.84,29.48,9
56,-0.04,0.92,0.2,78.04,-11.31,-2.43,9
57,0.44,0.84,0.33,68.57,53.13,27.63,9
58,-0.11,1.27,0.07,86.84,-57.26,-4.91,9
59,0.09,0.94,0.19,78.69,24.62,5.24,9
0,0.34,0.78,0.3,69.19,49.18,23.75,9
1,-0.1,0.93,0.03,88.07,-72.9,-6.23,9
2,0.32,0.8,0.14,79.99,66.3,21.9,9
3,0.28,0.66,0.32,64.25,41.28,22.95,9
4,0,0.84,0.17,78.49,0,0,9
5,0.34,0.8,0.27,71.23,50.86,22.66,9
6,-0.21,1.09,-0.04,92.05,-100.49,-10.92,9
7,0.16,0.94,0.16,80.54,45,9.46,9
8,0.38,0.66,0.38,59.74,44.41,29.74,9
9,-0.08,0.93,0.09,84.24,-39.81,-4.8,9
10,0.28,0.85,0.25,73.64,48.37,18.28,9
11,-0.02,1.29,0.15,83.43,-8.97,-1.04,9
12,0.05,0.88,0.13,81.87,23.63,3.58,9
13,0.31,0.84,0.3,69.97,45.73,20.5,9
14,-0.05,0.98,-0.03,91.82,-119.74,-3.18,9
15,0.27,0.77,0.16,78.58,60.26,19.47,9
16,0.23,0.8,0.36,65.73,32.23,15.87,9
17,-0.02,0.9,0.16,79.65,-5.44,-1,9
18,0.33,0.85,0.23,74.61,54.46,21.07,9
19,0.07,1.2,0.29,76.49,13.67,3.34,9
20,0.02,0.98,0.05,86.82,15.95,0.91,9
21,0.2,0.86,0.2,76.7,43.88,12.8,2
22,0.37,0.82,0.29,70.59,51.79,24.11,2
23,0.14,0.91,0.37,67.94,20.96,8.82,2
24,0.27,0.79,0.48,58.87,29.13,18.6,1
25,0.27,0.79,0.52,56.84,27.94,19.11,1
26,0.26,0.78,0.53,55.78,25.89,18.26,1
27,0.26,0.77,0.55,54.08,24.93,18.61,1
28,0.26,0.75,0.55,53.51,24.93,18.97,1
29,0.25,0.71,0.59,50.13,22.83,19.37,1
30,0.24,0.7,0.59,49.82,22.19,19.01,1
31,0.25,0.76,0.27,70.16,42.44,18.26,5
32,0.21,0.84,-0.32,110.97,146.63,14.16,5
33,0.2,0.89,-0.54,121.18,159.35,12.85,5
34,0.3,0.93,0.05,86.63,79.56,17.71,5
35,0.27,0.7,0.55,51.81,26.57,21.47,5
36,0.27,0.67,0.65,46.02,22.86,22.15,4
37,0.29,0.66,0.67,44.33,23.28,23.77,4
38,0.29,0.66,0.68,43.99,23.04,23.77,4
39,0.29,0.66,0.68,43.99,23.04,23.77,4
40,0.28,0.7,0.68,45.65,22.48,22.02,4
41,0.29,0.83,0.41,63.43,34.92,19.24,4
42,0.27,0.88,0.32,70.06,40.49,17.21,4
43,0.27,0.88,0.31,70.51,41.19,17.21,4
44,0.28,0.88,0.32,69.89,41.28,17.82,4
45,0.27,0.87,0.31,70.18,41.19,17.5,4
46,0.27,0.87,0.33,69.27,38.99,17.03,4
47,0.27,0.87,0.33,69.27,38.99,17.03,4
48,0.27,0.87,0.31,70.18,41.19,17.5,4
49,0.27,0.88,0.33,69.44,39.81,17.35,4
50,0.27,0.85,0.33,68.93,38.99,17.32,4
51,0.28,0.86,0.34,68.65,39.94,18.12,4
52,0.27,0.86,0.34,68.65,39.14,17.65,4
