currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
0,0.27,0.63,0.68,42.6,21.91,23.63,4
1,0.27,0.63,0.69,42.63,21.69,23.37,4
2,0.27,0.63,0.68,42.95,21.35,22.77,4
3,0.27,0.63,0.69,42.27,21.12,23.03,4
4,0.27,0.63,0.69,42.63,21.69,23.37,4
5,0.27,0.63,0.7,41.95,21.47,23.63,4
6,0.27,0.63,0.7,41.63,21.25,23.63,4
7,0.27,0.63,0.7,41.99,21.25,23.37,4
8,0.27,0.63,0.7,41.63,21.25,23.63,4
9,0.28,0.63,0.69,42.63,22.25,23.96,4
10,0.28,0.62,0.7,41.28,21.8,24.5,4
11,0.29,0.73,0.6,50.38,25.67,21.7,4
12,0.28,0.86,0.36,67.31,38.05,18.12,4
13,0.26,0.91,0.02,89.01,86.53,15.88,6
14,0.21,0.69,-0.66,133.67,162.18,17.06,6
15,0.27,0.7,-0.81,139.13,161.9,20.7,6
16,0.23,0.8,-0.49,121.7,154.54,16.39,6
17,0.27,0.79,0.08,84.35,74.05,19.11,6
18,0.31,0.95,0.07,85.78,77.32,18.15,1
19,0.31,0.91,0.08,85.11,75.96,18.87,1
20,0.3,0.91,0.09,84.14,72.47,17.99,1
21,0.3,0.92,0.09,84.19,72.9,18.29,1
22,0.3,0.92,0.08,85.16,75.62,18.29,1
23,0.3,0.92,0.06,86.12,78.41,18.29,1
24,0.31,0.93,0.08,85.2,75.96,18.58,1
25,0.3,0.92,0.06,86.12,78.41,18.29,1
26,0.3,0.92,0.09,84.19,72.9,18.29,1
27,0.29,0.91,0.09,84.63,73.44,17.55,1
28,0.38,0.89,0.13,82.01,71.57,22.83,1
29,0.39,0.78,0.26,71.74,56.58,26.57,1
30,0.1,0.95,0.13,82,37.41,6.13,2
31,0.21,0.83,0.41,63.43,27,14.29,2
32,0.41,0.91,0.11,83.18,74.93,23.96,2
33,0.34,0.73,0.43,59.4,38.66,25.32,2
34,0.18,0.84,0.45,62.18,21.97,12.02,2
35,0.26,0.78,0.55,55.01,25.24,18.26,2
36,0.34,0.73,0.48,57.02,35.8,25.08,2
37,0.18,0.85,0.41,64.5,23.86,11.92,2
38,0.23,0.79,0.5,57.64,25.11,16.54,2
39,0.38,0.8,0.47,59.53,39.24,25.66,2
40,0.37,0.79,0.59,53.04,31.73,24.95,2
41,0.23,0.78,0.46,59.46,26.95,16.7,2
42,0.34,0.88,0.34,69.17,45.66,21.27,2
43,0.37,0.78,0.44,60.75,40.01,25.17,2
44,0.24,0.82,0.41,63.22,30.32,16.45,2
45,0.35,0.9,0.38,67.34,43.15,21.37,2
46,0.34,0.75,0.41,61.1,39.7,24.62,2
47,0.26,0.92,0.39,67.04,33.42,15.62,2
48,0.3,0.95,0.47,63.62,33.02,17.86,2
49,0.35,0.78,0.43,61.19,39.29,24.23,2
50,0.17,0.81,0.29,70.42,30.74,11.94,2
51,0.27,0.89,0.5,60.69,27.98,16.61,2
52,0.33,0.68,0.45,56.31,35.91,25.77,2
53,0.23,0.9,0.4,66.08,30.47,14.62,2
54,0.25,0.82,0.46,60.67,28.47,16.95,2
55,0.31,0.75,0.4,62.02,38.11,22.62,2
56,0.34,0.95,0.58,58.55,30.74,19.98,2
57,0.35,0.7,0.49,55.01,35.54,26.57,2
58,0.13,0.7,0.28,68.2,23.96,10.08,2
59,0.32,0.93,0.43,65.19,36.7,19.01,2
0,0.45,0.77,0.3,68.3,56.08,30.62,2
1,0.18,0.9,0.42,64.85,23.07,11.31,2
2,0.3,0.91,0.48,62.08,32.17,18.43,2
3,0.39,0.72,0.43,59.13,42.27,28.52,2
4,0.18,0.81,0.33,68.01,28.71,12.47,2
5,0.23,0.77,0.53,55.52,23.81,16.86,2
6,0.32,0.68,0.44,57.23,36.21,25.23,2
7,0.2,0.81,0.43,62.13,25.3,14.04,2
8,0.35,0.78,0.34,66.73,46.3,24.23,2
9,0.29,0.97,0.42,66.47,34.42,16.61,2
10,0.14,0.84,0.42,63.43,18.43,9.46,2
11,0.33,0.85,0.41,64.07,38.4,21.07,2
12,0.24,0.95,0.46,64.19,27.72,14.26,2
13,0.21,0.79,0.45,60.13,24.96,14.97,2
14,0.29,0.76,0.43,60.45,33.93,20.88,2
15,0.1,0.7,0.33,64.98,17.2,8.22,2
16,0.26,0.83,0.48,59.68,28.02,17.29,2
17,0.31,0.7,0.46,56.46,34.14,24.2,2
18,0.05,0.68,0.28,67.52,11,4.6,2
19,0.19,0.91,0.38,67.1,26.1,11.69,2
20,0.3,0.7,0.5,54.28,31.36,23.66,2
21,0.05,0.7,0.3,66.34,10.18,4.5,2
22,0.22,0.85,0.45,61.98,25.77,14.41,2
23,0.32,0.7,0.43,58.57,36.7,24.49,2
24,0.16,0.91,0.38,67.52,22.62,9.78,2
25,0.2,0.8,0.46,59.95,22.96,13.77,2
26,0.39,0.75,0.21,74.29,61.63,27.51,2
27,0.38,0.73,0.47,57.17,38.66,27.3,2
28,0.22,0.95,0.36,69.34,31.33,12.93,2
29,0.3,0.92,0.4,66.63,37.41,18.29,2
30,0.33,0.88,0.36,67.67,42.4,20.56,2
31,0.05,0.94,0.28,73.3,9.46,2.86,2
32,0.3,0.79,0.48,58.87,31.92,20.62,2
33,0.41,0.89,0.52,59.56,37.82,24.52,2
34,0.3,0.91,0.23,75.62,51.71,17.99,1
35,0.28,0.88,0.27,72.79,45.81,17.67,1
36,0.3,0.91,0.26,74.25,49.03,17.99,1
37,0.3,0.86,0.32,69.56,43.57,19.52,1
38,0.31,0.88,0.3,70.8,45.73,19.65,1
39,0.31,0.88,0.28,72.18,48.01,19.65,1
40,0.3,0.88,0.28,72.18,47.29,19.2,1
41,0.3,0.88,0.27,73.25,48.92,19.04,1
42,0.31,0.9,0.27,73.53,49.64,19.18,1
43,0.3,0.88,0.27,72.65,48.09,19.2,1
44,0.3,0.88,0.26,73.58,49.03,18.74,1
45,0.3,0.88,0.27,72.65,47.35,18.74,1
46,0.3,0.88,0.27,72.79,48.09,19.04,1
47,0.3,0.89,0.29,72.02,46.51,18.89,1
48,0.31,0.84,0.34,68.29,42.93,20.32,1
49,0.29,0.78,0.45,60.32,32.99,20.3,1
50,0.25,0.76,0.57,53.04,23.67,18.26,1
51,0.28,0.76,0.55,54.18,27.22,20.36,1
52,0.28,0.77,0.55,54.08,26.89,20.17,1
53,0.28,0.77,0.55,54.46,27.22,20.17,1
54,0.29,0.77,0.54,54.85,28.2,20.68,1
55,0.29,0.74,0.55,53.62,27.86,21.28,1
56,0.3,0.76,0.55,53.8,28.16,21.39,1
57,0.29,0.76,0.55,53.8,27.53,20.88,1
58,0.29,0.75,0.55,53.9,27.86,21.08,1
59,0.29,0.75,0.55,53.9,27.86,21.08,1
0,0.3,0.75,0.56,53.13,27.82,21.6,1
1,0.3,0.77,0.54,54.85,28.84,21.19,1
2,0.3,0.74,0.56,52.84,27.82,21.8,1
3,0.3,0.76,0.55,54.18,28.5,21.39,1
4,0.3,0.75,0.55,53.9,28.5,21.6,1
5,0.29,0.77,0.52,55.64,28.91,20.68,1
6,0.3,0.81,0.43,62.13,35.34,20.56,1
7,0.31,0.85,0.38,65.79,39.23,20.15,1
8,0.3,0.84,0.36,66.74,40.29,20.03,1
9,0.3,0.85,0.34,68.02,41.55,19.69,1
10,0.3,0.85,0.35,67.57,40.18,19.22,1
11,0.29,0.85,0.33,68.93,41.38,18.75,1
12,0.31,0.87,0.33,69.27,43.6,19.82,1
13,0.3,0.86,0.33,69.1,42.88,19.52,1
14,0.31,0.86,0.34,68.2,42.27,19.98,1
15,0.31,0.86,0.34,68.65,42.93,19.98,1
16,0.3,0.86,0.34,68.2,41.55,19.52,1
17,0.3,0.82,0.34,67.73,41.47,19.9,1
18,0.3,0.95,0.17,79.78,60.57,17.73,1
19,0.3,0.91,0.18,78.79,58.82,18.14,1
20,0.29,0.91,0.21,76.9,53.88,17.69,1
21,0.3,0.91,0.2,77.94,56.66,17.99,1
22,0.29,0.91,0.19,78.31,57.03,17.69,1
23,0.3,0.9,0.2,77.74,57.34,18.73,1
24,0.3,0.91,0.2,77.84,56.66,18.14,1
25,0.3,0.91,0.19,78.31,57.72,18.14,1
26,0.3,0.91,0.2,77.37,56.31,18.58,1
27,0.3,0.91,0.2,77.94,56.66,17.99,1
28,0.3,0.9,0.2,77.26,55.62,18.29,1
29,0.3,0.9,0.19,78.21,57.72,18.29,1
30,0.3,0.91,0.2,77.84,57.34,18.58,1
31,0.31,0.9,0.21,76.79,55.98,19.18,1
32,0.3,0.91,0.21,76.9,55.3,18.58,1
33,0.3,0.9,0.2,77.74,56.66,18.29,1
34,0.3,0.91,0.21,76.9,55.3,18.58,1
35,0.3,0.9,0.22,76.32,53.62,18.29,1
36,0.3,0.9,0.21,76.79,54.61,18.29,1
37,0.3,0.9,0.22,76.32,53.62,18.29,1
38,0.3,0.91,0.2,77.84,57.34,18.58,1
39,0.3,0.91,0.2,77.94,57.34,18.43,1
40,0.3,0.9,0.2,77.74,57.34,18.73,1
41,0.31,0.9,0.22,76.32,55.01,19.18,1
42,0.3,0.9,0.2,77.26,55.62,18.29,1
43,0.3,0.91,0.2,77.47,56.31,18.43,1
44,0.31,0.91,0.2,77.84,57.99,19.03,1
45,0.3,0.91,0.2,77.37,56.31,18.58,1
46,0.3,0.91,0.2,77.84,57.34,18.58,1
47,0.3,0.91,0.2,77.37,56.31,18.58,1
48,0.3,0.91,0.2,77.84,57.34,18.58,1
49,0.3,0.91,0.16,79.74,61.7,18.58,1
50,0.3,0.93,0.02,89.04,86.99,17.71,5
51,0.18,0.98,-0.16,99.02,131.01,10.34,5
52,0.29,0.88,-0.09,96.12,107.97,18.28,5
53,0.15,0.84,-0.42,116.78,160.62,10.07,5
54,0.15,0.7,-0.65,132.68,167.11,11.92,5
55,0.18,0.7,-0.64,132.66,164.33,14.49,5
56,0.27,0.92,-0.09,95.81,108.92,16.52,5
57,0.3,0.68,0.59,49.24,27.47,24.15,4
58,0.26,0.77,0.59,52.57,23.75,18.61,4
59,0.27,0.7,0.63,48.37,23.03,20.7,4
0,0.27,0.67,0.64,46.36,22.52,21.57,4
1,0.27,0.66,0.66,45.34,22.62,22.38,4
2,0.27,0.66,0.66,44.66,22.38,22.62,4
3,0.27,0.66,0.66,44.66,22.38,22.62,4
4,0.28,0.65,0.68,43.65,22.48,23.45,4
5,0.27,0.65,0.68,43.65,21.91,22.86,4
6,0.28,0.63,0.69,42.63,22.25,23.96,4
7,0.28,0.63,0.7,42.31,22.02,23.96,4
8,0.27,0.65,0.67,43.98,22.15,22.86,4
9,0.27,0.66,0.67,44.33,21.57,22.04,4
10,0.26,0.65,0.66,44.32,21.22,21.68,4
11,0.28,0.63,0.67,43.29,22.71,23.96,4
12,0.27,0.67,0.65,46.02,22.28,21.57,4
13,0.31,0.81,0.42,62.56,36.53,21.04,4
14,0.28,0.91,0.2,77.84,55.22,17.24,4
15,0.28,0.91,0.15,80.78,62.18,17.1,4
