currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
14,-0.01,-0.5,0.88,-29.53,-0.51,-179.1,0
15,0,-0.49,0.88,-29.36,0,180,0
16,0,-0.5,0.89,-29.31,0,180,0
17,0,-0.5,0.89,-29.31,0,180,0
18,-0.01,-0.5,0.88,-29.74,-0.51,-179.1,0
19,0,-0.5,0.88,-29.53,0,180,0
20,-0.01,-0.5,0.9,-29.1,-0.5,-179.1,0
21,0,-0.5,0.89,-29.31,0,180,0
22,0,-0.5,0.89,-29.31,0,180,0
23,0,-0.5,0.88,-29.53,0,180,0
24,-0.01,-0.49,0.89,-28.93,-0.5,-179.09,0
25,0,-0.49,0.89,-28.93,0,180,0
26,0,-0.49,0.88,-29.14,0,180,0
27,0.01,-0.5,0.88,-29.74,0.51,179.1,0
28,-0.01,-0.5,0.89,-29.31,-0.5,-179.1,0
29,0,-0.5,0.88,-29.53,0,180,0
30,0,-0.5,0.88,-29.53,0,180,0
31,-0.01,-0.5,0.88,-29.74,-0.51,-179.1,0
32,0.02,-0.49,0.89,-28.93,1.01,178.18,0
33,0.02,-0.43,0.96,-24.09,1.4,176.88,0
34,-0.05,0.21,0.78,15.11,-3.43,-12.53,3
35,-0.25,0.7,0.8,41.11,-17.42,-19.78,3
36,0.03,0.86,0.35,67.75,5.08,2.08,3
37,0.4,0.93,0.1,83.77,75.7,23.2,3
38,0.28,0.87,0.14,80.79,63.43,17.97,3
39,0.2,0.98,0.3,72.8,32.66,11.22,3
40,-0.02,0.94,0.28,73.3,-3.18,-0.95,3
41,0.03,0.89,0.37,67.59,4.86,2.01,3
42,0.2,0.89,0.37,67.59,28.95,12.85,3
43,0.17,0.86,0.3,70.48,29.43,11.31,3
44,0.09,0.87,0.25,73.92,18.97,5.66,3
45,0.17,0.88,0.31,70.51,28.81,11.02,3
46,0.27,0.86,0.47,61.39,29.54,17.18,3
47,0.2,0.78,0.51,56.98,21.8,14.57,4
48,0.22,0.82,0.51,58.24,23.3,14.93,4
49,0.25,0.81,0.49,58.79,26.93,17.1,4
50,0.21,0.81,0.5,58.39,22.87,14.55,4
51,0.23,0.81,0.5,58.39,25.11,16.09,4
52,0.23,0.8,0.51,57.75,24.04,15.72,4
53,0.23,0.83,0.5,58.88,24.38,15.3,4
54,0.22,0.79,0.51,57.24,23.3,15.49,4
55,0.3,0.85,0.41,64.5,36.87,19.69,4
56,0.27,0.83,0.32,68.85,39.67,17.78,4
57,0.17,0.9,0.46,62.84,20.45,10.83,4
58,0.05,0.83,0.55,56.19,5.63,3.78,4
59,0.15,0.87,0.38,66.61,21.6,9.71,4
0,0.13,0.97,0.24,75.96,27.3,7.35,3
1,0.21,0.75,0.58,52.37,20.05,15.71,3
2,0.27,0.23,0.91,13.92,16.2,49.54,3
3,0,-0.2,1.02,-10.8,0,180,3
4,-0.02,-0.54,0.81,-33.56,-1.65,-177.51,3
5,0,-0.53,0.84,-32.44,0,180,3
