currentTime,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity,fallDetected
36,0.3,0.93,0.1,83.77,71.57,18.15,6,FALSE
37,0.23,0.79,-0.33,112.58,144.46,16.54,6,TRUE
38,0.13,0.63,-0.84,143.13,171.57,11.17,6,TRUE
39,0.19,0.71,-0.69,134.04,164.74,14.77,6,FALSE
40,0.23,0.8,-0.45,119.62,153.43,15.87,6,FALSE
41,0.26,0.88,-0.03,92.03,96.91,16.28,6,FALSE
42,0.27,0.78,0.34,66.73,39.14,19.29,6,FALSE
43,0.29,0.73,0.57,51.87,26.88,21.7,6,FALSE
44,0.24,0.66,0.66,44.66,20.04,20.26,1,FALSE
45,0.25,0.68,0.66,46.01,20.85,20.19,1,FALSE
46,0.25,0.7,0.64,47.34,21.32,19.78,1,FALSE
47,0.26,0.68,0.66,46.01,21.45,20.77,1,FALSE
48,0.27,0.67,0.65,46.02,22.28,21.57,1,FALSE
49,0.26,0.66,0.66,45.34,21.45,21.22,1,FALSE
50,0.26,0.69,0.65,46.67,21.68,20.56,1,FALSE
51,0.26,0.69,0.64,47.02,21.92,20.56,1,FALSE
52,0.27,0.68,0.65,46.35,22.28,21.35,1,FALSE
53,0.27,0.7,0.62,48.41,23.29,20.91,1,FALSE
54,0.27,0.73,0.59,51.12,25.02,20.62,1,FALSE
55,0.34,0.7,0.59,49.82,30.07,26.05,1,FALSE
56,0.31,0.67,0.59,48.53,27.76,24.94,1,FALSE
57,0.23,0.82,0.42,62.78,28.24,15.44,2,FALSE
58,0.26,0.86,0.54,57.9,25.56,16.7,2,FALSE
59,0.34,0.72,0.45,58.22,37.03,25.05,2,FALSE
0,0.22,0.8,0.37,65.47,30.78,15.21,2,FALSE
1,0.22,0.79,0.5,57.64,23.63,15.49,2,FALSE
2,0.4,0.75,0.4,62.02,45,27.98,2,FALSE
3,0.34,0.77,0.5,57.12,33.9,23.48,2,FALSE
4,0.2,0.74,0.48,57.3,23.09,15.31,2,FALSE
5,0.34,0.88,0.41,64.68,39.7,21.45,2,FALSE
6,0.33,0.75,0.48,57.14,34.11,23.63,2,FALSE
7,0.23,0.82,0.43,62.35,28.61,15.95,2,FALSE
8,0.26,0.83,0.46,60.9,29.22,17.29,2,FALSE
9,0.34,0.69,0.5,53.97,33.9,26.04,2,FALSE
10,0.26,0.93,0.48,62.86,28.41,15.5,2,FALSE
11,0.35,0.92,0.53,60.05,33.5,20.87,2,FALSE
12,0.33,0.76,0.46,58.69,35.45,23.41,2,FALSE
13,0.21,0.95,0.43,65.73,26.15,12.48,2,FALSE
14,0.3,0.94,0.61,56.98,26.57,18,2,FALSE
15,0.37,0.79,0.45,60.13,39.02,24.95,2,FALSE
16,0.16,0.74,0.39,62.24,21.8,11.89,2,FALSE
17,0.22,0.85,0.52,58.42,22.68,14.41,2,FALSE
18,0.3,0.67,0.48,54.65,31.92,23.84,2,FALSE
19,0.18,0.75,0.36,64.4,26.57,13.47,2,FALSE
20,0.24,0.86,0.45,62.61,28.54,15.74,2,FALSE
21,0.34,0.72,0.45,58.22,37.03,25.05,2,FALSE
22,0.2,0.81,0.41,63,26.13,14.04,2,FALSE
23,0.16,0.81,0.47,60.02,18.43,10.89,2,FALSE
24,0.3,0.85,0.43,63.23,34.64,19.22,2,FALSE
25,0.11,0.91,0.45,63.63,13.57,6.82,2,FALSE
26,0.05,0.91,0.38,67.1,8.13,3.45,2,FALSE
27,0.37,0.8,0.42,62.33,41.04,24.53,2,FALSE
28,0.3,0.8,0.51,57.49,30.31,20.43,2,FALSE
29,0.25,0.8,0.44,61.47,29.74,17.26,2,FALSE
30,0.36,0.7,0.36,62.67,45,27.33,2,FALSE
31,0.32,0.88,0.54,58.36,30.72,20.11,2,FALSE
32,0.19,0.73,0.48,57.02,21.48,14.32,2,FALSE
33,0.3,0.66,0.32,63.98,43.57,24.9,2,FALSE
34,0.36,0.8,0.49,58.3,36.14,24.27,2,FALSE
35,0.16,0.74,0.42,60.39,21.25,12.46,2,FALSE
36,0.34,0.84,0.37,66.29,43.11,22.35,2,FALSE
37,0.39,0.73,0.51,55.34,37.57,28.01,2,FALSE
38,0.21,0.92,0.39,67.04,28.37,12.89,2,FALSE
39,0.33,0.98,0.51,62.53,32.87,18.57,2,FALSE
40,0.3,0.71,0.51,54.46,30.96,23.2,2,FALSE
41,0.1,0.92,0.32,70.84,17.59,6.29,2,FALSE
42,0.28,0.95,0.52,61.23,28.25,16.44,2,FALSE
43,0.32,0.8,0.44,61.23,36.21,21.9,2,FALSE
44,0.11,0.87,0.38,66.18,15.95,7.19,2,FALSE
45,0.23,0.91,0.47,62.65,25.8,14.04,2,FALSE
46,0.31,0.74,0.44,59.48,35.54,22.83,2,FALSE
47,0.12,0.73,0.3,67.99,21.54,9.07,2,FALSE
48,0.25,0.84,0.44,62.37,29.74,16.65,2,FALSE
49,0.35,0.69,0.45,57.07,38.29,27.08,2,FALSE
50,0.18,0.82,0.34,67.26,27.6,12.36,2,FALSE
51,0.16,0.81,0.42,62.56,20.32,10.89,2,FALSE
52,0.29,0.79,0.42,61.87,34.42,20.12,2,FALSE
53,0.23,0.95,0.5,62.12,25.11,13.92,2,FALSE
54,0.2,0.75,0.5,56.31,22.11,15.15,2,FALSE
55,0.34,0.74,0.39,62.24,41.35,24.85,2,FALSE
56,0.31,0.87,0.52,58.88,30.84,19.82,2,FALSE
57,0.19,0.8,0.42,62.1,23.96,13.24,2,FALSE
58,0.32,0.71,0.23,71.75,53.81,24.25,2,FALSE
59,0.32,0.77,0.45,60.07,35.73,22.5,2,FALSE
0,0.12,0.91,0.32,70.69,20.1,7.31,2,FALSE
1,0.19,0.9,0.43,64.44,23.57,11.79,2,FALSE
2,0.34,0.81,0.3,69.93,48.53,22.46,2,FALSE
3,0.1,0.98,0.3,72.67,18.43,5.94,2,FALSE
4,0.05,0.91,0.23,76.08,11.69,2.94,2,FALSE
5,0.45,0.75,0.27,70.5,59.18,30.7,2,FALSE
6,0.28,0.91,0.27,73.21,45.81,17.24,2,FALSE
7,0.23,0.87,0.38,66.18,30.62,14.64,2,FALSE
8,0.3,0.72,0.58,51.19,27.18,22.44,1,FALSE
9,0.29,0.69,0.61,48.45,25.38,22.8,1,FALSE
10,0.25,0.7,0.63,47.69,21.56,19.78,1,FALSE
11,0.26,0.7,0.62,48.72,22.67,20.14,1,FALSE
12,0.27,0.71,0.62,49.04,23.29,20.49,1,FALSE
13,0.26,0.73,0.59,51.04,23.47,19.34,1,FALSE
14,0.26,0.73,0.6,50.38,23.2,19.54,1,FALSE
15,0.3,0.8,0.5,57.89,31.36,20.92,1,FALSE
16,0.27,0.91,0.18,78.79,56.69,16.79,1,FALSE
17,0.3,0.96,0.07,85.82,76.68,17.17,1,FALSE
18,0.35,0.86,0.2,77.2,60.95,22.25,1,FALSE
19,0.3,0.73,0.55,53.03,29.12,22.75,1,FALSE
20,0.3,0.73,0.58,51.49,27.18,22.23,1,FALSE
